goos: linux
goarch: amd64
pkg: github.com/kellabyte/go-benchmarks/hashing
BenchmarkHighway/512-40     	20000000	       106 ns/op	4827.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkHighway/1024-40    	10000000	       187 ns/op	5459.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkHighway/4096-40    	 2000000	       617 ns/op	6628.61 MB/s	       0 B/op	       0 allocs/op
BenchmarkHighway/8192-40    	 1000000	      1255 ns/op	6527.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkMinioHighway/1-40  	20000000	        80.6 ns/op	  12.41 MB/s	       0 B/op	       0 allocs/op
BenchmarkMinioHighway/2-40  	20000000	        79.4 ns/op	  25.20 MB/s	       0 B/op	       0 allocs/op
BenchmarkMinioHighway/4-40  	20000000	        79.8 ns/op	  50.13 MB/s	       0 B/op	       0 allocs/op
BenchmarkMinioHighway/8-40  	20000000	        77.8 ns/op	 102.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkMinioHighway/32-40 	30000000	        54.3 ns/op	 589.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkMinioHighway/64-40 	20000000	        58.8 ns/op	1087.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkMinioHighway/128-40         	20000000	        81.2 ns/op	1575.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkMinioHighway/256-40         	20000000	        81.5 ns/op	3142.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkMinioHighway/512-40         	20000000	       107 ns/op	4771.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkMinioHighway/1024-40        	10000000	       179 ns/op	5719.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkMinioHighway/4096-40        	 3000000	       517 ns/op	7915.24 MB/s	       0 B/op	       0 allocs/op
BenchmarkMinioHighway/8192-40        	 1000000	      1036 ns/op	7905.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkMarvin32/1-40               	200000000	         8.80 ns/op	 113.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkMarvin32/2-40               	200000000	         9.25 ns/op	 216.13 MB/s	       0 B/op	       0 allocs/op
BenchmarkMarvin32/4-40               	100000000	        10.9 ns/op	 366.78 MB/s	       0 B/op	       0 allocs/op
BenchmarkMarvin32/8-40               	100000000	        12.3 ns/op	 651.55 MB/s	       0 B/op	       0 allocs/op
BenchmarkMarvin32/32-40              	50000000	        24.1 ns/op	1327.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkMarvin32/64-40              	30000000	        41.8 ns/op	1530.24 MB/s	       0 B/op	       0 allocs/op
BenchmarkMarvin32/128-40             	20000000	        69.6 ns/op	1839.68 MB/s	       0 B/op	       0 allocs/op
BenchmarkMarvin32/256-40             	10000000	       133 ns/op	1922.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkMarvin32/512-40             	 5000000	       265 ns/op	1929.22 MB/s	       0 B/op	       0 allocs/op
BenchmarkMarvin32/1024-40            	 3000000	       508 ns/op	2012.49 MB/s	       0 B/op	       0 allocs/op
BenchmarkMarvin32/4096-40            	 1000000	      1974 ns/op	2074.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkMarvin32/8192-40            	  300000	      4018 ns/op	2038.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkSip13Hash/1-40              	100000000	        15.1 ns/op	  66.31 MB/s	       0 B/op	       0 allocs/op
BenchmarkSip13Hash/2-40              	100000000	        16.4 ns/op	 121.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkSip13Hash/4-40              	100000000	        18.9 ns/op	 211.78 MB/s	       0 B/op	       0 allocs/op
BenchmarkSip13Hash/8-40              	100000000	        17.7 ns/op	 452.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkSip13Hash/32-40             	50000000	        24.8 ns/op	1288.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkSip13Hash/64-40             	50000000	        34.1 ns/op	1879.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkSip13Hash/128-40            	30000000	        53.3 ns/op	2402.70 MB/s	       0 B/op	       0 allocs/op
BenchmarkSip13Hash/256-40            	20000000	        92.9 ns/op	2755.47 MB/s	       0 B/op	       0 allocs/op
BenchmarkSip13Hash/512-40            	10000000	       174 ns/op	2929.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkSip13Hash/1024-40           	 5000000	       318 ns/op	3217.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkSip13Hash/4096-40           	 1000000	      1257 ns/op	3257.99 MB/s	       0 B/op	       0 allocs/op
BenchmarkSip13Hash/8192-40           	  500000	      2557 ns/op	3203.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkFNV1/1-40                   	50000000	        34.0 ns/op	  29.42 MB/s	       8 B/op	       1 allocs/op
BenchmarkFNV1/2-40                   	50000000	        32.4 ns/op	  61.74 MB/s	       8 B/op	       1 allocs/op
BenchmarkFNV1/4-40                   	50000000	        32.6 ns/op	 122.54 MB/s	       8 B/op	       1 allocs/op
BenchmarkFNV1/8-40                   	50000000	        36.0 ns/op	 222.36 MB/s	       8 B/op	       1 allocs/op
BenchmarkFNV1/32-40                  	20000000	        66.2 ns/op	 483.33 MB/s	       8 B/op	       1 allocs/op
BenchmarkFNV1/64-40                  	20000000	       114 ns/op	 560.53 MB/s	       8 B/op	       1 allocs/op
